Marca;Modelo;Combustible;Transmisión;Estado;Año matricula;Kilometraje;Potencia;Precio
Ford;Fiesta;Gasolina;Manual;Usado;05/2010;63729;82.0;2850.0
Nissan;Pixo;Gasolina;Manual;Usado;06/2011;65000;68.0;2999.0
Hyundai;i10;Gasolina;Manual;Usado;08/2012;35000;69.0;3299.0
Renault;Twingo;Gasolina;Manual;Usado;11/2011;60211;75.0;3990.0
Peugeot;107;Gasolina;Manual;Usado;06/2010;80000;68.0;3990.0
Chevrolet;Spark;Gasolina;Manual;Usado;07/2011;79871;68.0;3990.0
Nissan;Micra;Gasolina;Manual;Usado;04/2012;81000;80.0;4150.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;07/2011;89500;69.0;4490.0
Opel;Astra;Gasolina;Manual;Usado;09/2011;72000;116.0;4600.0
SEAT;Mii;Gasolina;Manual;Usado;07/2012;93400;60.0;4695.0
Citroen;C1;Gasolina;Manual;Usado;12/2011;16000;68.0;4750.0
Chevrolet;Spark;Gasolina;Manual;Usado;08/2013;63176;68.0;4790.0
Skoda;Citigo;Gasolina;Manual;Usado;06/2013;74000;60.0;4880.0
Mazda;2;Gasolina;Manual;Usado;03/2011;89500;84.0;4890.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;04/2014;72000;71.0;4950.0
Daihatsu;Charade;Gasolina;Manual;Usado;05/2011;60800;99.0;4980.0
Ford;;Gasolina;Manual;Usado;12/2011;47497;69.0;4980.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;09/2017;52700;71.0;4990.0
Volkswagen;up!;Gasolina;Manual;Usado;05/2012;39278;60.0;4990.0
Volkswagen;Polo;Gasolina;Manual;Usado;01/2010;67000;60.0;4990.0
Ford;Fiesta;Gasolina;Manual;Usado;05/2010;63729;82.0;2850.0
Citroen;Nemo;Diesel;Manual;Usado;05/2010;99409;68.0;3590.0
Citroen;C4;Gasolina;Manual;Usado;06/2010;64702;120.0;3750.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;09/2014;100000;71.0;3825.0
Peugeot;107;Gasolina;Manual;Usado;12/2011;76600;68.0;3950.0
Renault;Twingo;Gasolina;Manual;Usado;03/2012;85700;75.0;3986.0
Renault;Twingo;Gasolina;Manual;Usado;11/2011;60211;75.0;3990.0
Fiat;Panda;Gasolina;Manual;Usado;07/2010;68800;54.0;3990.0
Peugeot;107;Gasolina;Manual;Usado;06/2010;80000;68.0;3990.0
Chevrolet;Spark;Gasolina;Manual;Usado;07/2011;79871;68.0;3990.0
Nissan;Micra;Gasolina;Manual;Usado;04/2012;81000;80.0;4150.0
Opel;Corsa;Gasolina;Manual;Usado;10/2012;34630;69.0;4490.0
Chevrolet;Aveo;Gasolina;Manual;Usado;05/2012;87000;86.0;4490.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;06/2011;98513;90.0;4490.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;07/2011;89500;69.0;4490.0
Dacia;Logan;Gasolina;Manual;Usado;04/2015;100000;90.0;4499.0
Opel;Astra;Gasolina;Manual;Usado;09/2011;72000;116.0;4600.0
Renault;Clio;Gasolina;Manual;Usado;10/2012;97895;75.0;4650.0
SEAT;Mii;Gasolina;Manual;Usado;07/2012;93400;60.0;4695.0
Citroen;C1;Gasolina;Manual;Usado;12/2011;16000;68.0;4750.0
Mercedes-Benz;;Gasolina;Manual;Usado;07/2013;54900;71.0;5440.0
smart;forTwo;Gasolina;Manual;Usado;07/2015;73000;71.0;6480.0
Kia;Picanto;Gasolina;Manual;Usado;10/2016;20751;65.0;7450.0
smart;forTwo;Gasolina;Manual;Usado;01/2015;39584;90.0;7980.0
smart;forTwo;Gasolina;Manual;Usado;09/2018;30406;71.0;8690.0
Opel;Astra;Gasolina;Manual;Usado;03/2015;73175;120.0;9850.0
Hyundai;i20;Gasolina;Manual;Usado;08/2016;37412;101.0;9990.0
Opel;Astra;Gasolina;Manual;Usado;10/2013;86859;170.0;9990.0
